Actual_Train_Price,Predicted_Train_Price,Actual_Test_Price,Predicted_Test_Price
14.05,11.738726455049324,6.95,7.4057326986480545
12.99,9.592034334333913,10.09,10.712681050940432
7.56,5.76388729888479,2.35,2.727179326174434
7.54,7.226901083491706,3.45,3.708996644904826
6.37,6.846995853714062,9.25,14.59324957124607
49.0,41.31609919550896,26.52,23.669966943004606
9.75,10.664320781962878,8.61,7.085767112791968
7.72,6.120460286321652,8.2,7.790507887257562
2.25,2.9745357095275122,2.3,4.328583167573102
3.5,4.32237188252434,26.5,25.26708785052206
8.22,7.2680053988255935,7.11,5.332190192881158
36.76,30.344391041660653,1.3,2.0622605437721666
12.6,9.059472690420508,7.75,7.779272005517411
3.25,3.608967583474058,21.0,17.38121019905495
1.2,1.4999509965841622,56.14,34.971665805445554
7.9,7.082908290941942,32.0,17.106814756829625
8.0,7.091655951930319,2.49,3.325295412271155
64.0,29.21369776503181,3.35,3.996765465407778
13.5,13.413522498591417,3.9,3.859766790746458
6.25,6.488101582640375,4.76,3.8065689150800925
2.65,2.2127261345721947,1.97,2.4372383791804606
45.0,57.07456968176686,0.75,1.1319966518453788
40.88,7.178917116566314,3.2,3.7336773071155145
2.25,1.880485695443738,23.0,14.060769051534548
6.9,8.914923982834729,4.95,6.962306355066839
2.9,2.4325299189895273,6.9,5.379899727517382
10.75,8.912977402184387,2.6,2.567790831009721
4.5,5.704840685607932,18.36,26.999540742416762
5.85,4.012825820916837,0.85,1.237103163158636
5.47,4.954076603902118,7.99,7.770283821792017
10.77,8.294351704302759,7.64,6.275470913513023
6.5,6.720045040458718,7.1,5.858673717354207
1.25,1.1756286008388181,3.35,5.619701964445016
1.85,1.627011572207237,3.2,4.354824175187395
6.25,6.129881915551966,1.87,1.956598382550215
15.5,16.487395511469305,4.25,6.1774674287448095
5.35,4.911770455423587,5.65,4.178794748370237
2.3,2.2912956702501384,6.22,5.209526628691806
14.5,14.279753434533117,3.3,3.871022029808378
6.73,7.758868338437354,2.6,2.3075038603648244
3.25,5.682880022374608,7.39,6.8109477201174995
15.0,17.58728159146641,3.56,5.6333919946962245
2.75,2.530574334214399,3.11,3.671771684617762
5.99,6.507223589023636,35.0,25.188585950454698
3.3,3.280477260786336,5.63,5.404004055554522
6.0,6.337883849617577,9.58,9.113538163232358
6.37,5.668586537021619,4.45,4.7608379099058045
10.3,14.244819880537934,13.65,10.586853452598133
8.12,12.744858619440437,7.5,6.09941418279618
9.29,13.691058909921662,5.48,7.097782893401669
4.5,3.440608755359015,5.0,4.361225564021538
48.63,64.29020736037654,2.45,2.158338264970969
3.7,4.74972205501556,39.41,31.415619515136797
3.95,4.693942378677146,7.29,8.954057405863749
14.95,12.205394547787408,2.5,2.779694506524922
28.95,19.137471104677612,24.5,43.02737046294164
2.65,5.450051545675459,2.75,3.242417626934244
2.25,2.7522757373168907,34.0,25.67753008336737
2.5,3.17351962911556,9.25,12.29612668035745
4.25,4.788772086574705,25.5,22.2444787166742
12.9,8.853059311834894,7.1,8.537569923161973
8.26,7.844533251108653,4.26,5.476667000087211
7.5,8.4544326439953,8.0,8.392518723264239
4.8,4.850136814096016,4.4,3.652395425601848
4.91,7.319474599557263,70.0,74.68344205489237
12.5,10.925260009781141,1.35,2.285663618730558
2.95,2.9976128531619572,5.88,5.448728123792206
5.53,6.53819533130334,4.15,4.027928508170994
6.0,9.425652756461703,24.9,19.075486701789263
20.37,25.44991747459231,5.9,7.099651930882779
4.9,3.9561448580442304,4.5,6.164907687077134
6.0,5.381621600207691,5.45,6.538876878231799
2.98,5.039425240053959,1.55,1.9015225065606474
3.75,5.902893668966713,8.3,9.0480267319272
19.0,18.345133592051727,6.6,6.942252498162811
3.95,3.4270503491179327,3.91,3.2135740657553953
5.99,3.403823235157394,8.5,9.416193100814764
36.83,56.441812347047545,9.75,8.286454546673113
2.35,2.5453462148867683,9.45,10.208400083791322
3.35,4.173580655125408,4.25,4.54571372841304
2.05,1.6092905871145629,6.57,5.693489166308666
36.5,29.83310200395042,7.25,8.228139385519636
15.0,16.14404041942079,28.45,25.578074298016528
2.9,3.6810026439588297,5.85,4.990090233634015
5.25,6.197039281999591,5.99,7.144901669636921
30.3,20.26810485409143,20.5,25.438665446138707
5.0,5.285549676472633,1.2,1.1346794730361596
3.85,4.198524045437872,5.0,4.743160616146661
4.75,5.698436164694331,1.25,1.5507263497837775
36.0,23.75782071455878,22.0,10.856674876168746
13.0,12.041031783992175,4.0,3.707320807213963
2.5,2.471703009638473,3.25,3.2590675449266757
2.5,3.446170685552222,6.25,7.399904675432307
4.9,5.389536353736832,5.95,6.926556352425846
8.75,5.917688673882174,3.0,5.942874601015202
3.5,2.440931601396429,9.5,11.457162998980339
3.45,6.357717163755592,6.45,10.598661593367519
22.0,19.64562170034328,2.39,2.9083704417173806
3.1,3.7307456823088536,9.5,8.913337365686061
34.5,25.243136348549385,27.95,43.682950344185166
3.5,4.383827183716098,1.11,1.2025750424832353
7.32,6.549633857671552,9.15,9.76454630995725
16.0,10.907232845274537,1.3,1.3255395648159811
2.5,2.678301337618568,2.85,4.8622154396302415
9.27,9.47596547977429,29.5,60.5049128351342
4.64,5.248901150514727,6.5,5.333845465548214
4.88,6.40887368311752,12.5,9.167208642573334
2.5,3.830700493175232,2.25,2.5340747273979445
52.0,36.78129236756634,20.5,15.932451074421486
3.71,3.658648345635512,8.99,8.061140483928096
2.45,5.47895918561871,4.44,6.3312901267354835
3.98,5.513081539234373,4.15,3.831025081890827
4.5,6.736605892551104,10.75,7.625155042335985
6.46,4.912434327580098,8.25,7.143767567949866
9.31,11.46586323385054,5.5,4.433967534092072
5.5,4.844711898737745,7.0,7.511385466705535
3.75,3.6998916356870977,2.2,2.4966204779616423
6.44,8.290693394165922,5.45,3.867893199979714
4.5,5.400403845641589,11.5,11.873198398132931
2.4,4.981982345687204,4.25,2.766574509909197
20.0,16.741027545002403,2.35,2.73818594515426
3.16,2.5465280490761244,4.0,5.24306082889251
17.18,25.716587838781138,18.25,13.529251124305935
17.5,15.91087944151932,5.47,5.023396992159089
6.0,5.115082080858322,3.19,2.876184340265529
9.69,11.605735876324461,6.18,7.02177314382375
3.36,2.4483705180882382,5.71,7.4443161604127575
3.45,3.1095778648614196,6.25,5.862611878015688
11.45,9.180849537561729,5.21,6.623714550627935
8.09,7.614267586761017,11.85,9.157119312233798
100.0,277.8062539541368,4.14,3.542130348032189
2.95,2.2546863609521814,7.85,6.910018878069567
4.12,3.87128635690717,4.6,3.5136113600472485
5.75,6.8589229349237675,41.0,31.987171741833798
4.45,6.814203215175324,8.5,7.873888155785708
32.0,36.46337803625476,16.5,8.168120647851808
5.5,4.676112876250143,2.49,3.27745120945304
5.5,6.150522126562086,11.5,11.870463526350239
4.28,5.25590763133424,6.75,9.804943759712284
2.9,2.3343071873910626,6.5,4.791501202776912
6.5,7.7554597749218726,6.4,5.305183855127924
11.0,12.743378383837934,13.0,9.758895970405794
3.64,3.299364069269202,4.1,3.3971766784718183
29.8,29.77371242811085,3.9,3.8138369332750677
3.11,3.7474691018893314,0.6,1.628720443746711
6.55,6.238189871991808,4.5,5.439720242398477
9.99,17.14491822530997,2.05,2.4393419190990504
28.42,23.246805974135988,11.25,12.843137926914078
7.34,5.9169779997033265,7.85,6.323761058868228
2.7,2.7794567582881267,2.9,2.861838907925858
26.76,25.100556906718893,2.6,2.6762669246055344
7.78,6.891952272578814,2.78,2.763598475499837
2.65,2.531413647455666,0.53,1.5280076483348306
16.5,15.650412451545098,7.12,12.004902143099663
27.5,29.23246332152298,32.57,27.576677400079834
2.1,2.568640355876651,4.65,3.8709685588828204
7.5,6.370502966162551,3.76,5.271079737164302
21.0,14.638554234432242,2.05,5.019945757842962
5.95,6.1113062839046925,6.75,6.523391915470153
5.25,4.694205344093498,22.95,17.199042931138443
3.87,4.42498424609307,2.15,2.407610338953568
19.75,11.45625912920405,5.5,7.072164684137457
30.45,26.447315727871135,1.09,1.1428538846026155
3.5,7.820662467891475,4.75,5.070063144893274
8.0,10.859573019758091,12.5,9.104640482232467
